,Nose,Right Eye,Left Eye,Right Ear,Left Ear,Right Shoulder,Left Shoulder,Right Elbow,Left Elbow,Right Wrist,Left Wrist,Right Hip,Left Hip,Right Knee,Left Knee,Right Ankle,Left Ankle,exercise,File Path,FolderID,Frame Number
1755,"155.00700693093384,53.6967640442607","153.73934520914398,52.66560524075876","155.18743920233464,51.414138497081716","148.02395428015564,52.44084007174125","147.41035384241246,49.20151006201362","139.30371473735408,64.48187469601167","142.58481274319067,64.84342321254864","131.96314141536965,90.32468233219845","140.25402784533074,91.67433730544747","143.2702456225681,112.82291919990273","150.30474829766538,113.02051161235408","132.02796692607004,112.52669777480546","135.17146461575877,112.84248844844358","137.59419078307394,158.30473309824902","139.17961150291828,158.37937743190662","133.2562773589494,196.87486320525292","135.71034472276264,199.55835055933852",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_1_flipped\2_47.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_1_flipped,2
1770,"156.01202273832686,56.30694841318093","154.34283803501947,54.846812682392994","154.48452699416342,52.29932210603113","147.42210299124514,55.814361928501945","147.0763314688716,52.408252523103116","140.412952942607,67.04894972033074","143.1779699659533,68.83953976167315","133.27459265564204,92.10948899562257","134.5992673881323,90.0849343385214","147.44116305933852,111.833984375","147.68798638132296,111.7259013253891","132.2434490515564,116.07896096789884","131.2937895184825,115.31073686770428","138.2193579766537,157.50887645914398","137.98948200389106,158.79163120136187","134.3994406614786,199.17175340466926","134.7029122081712,199.4642965710117",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_1_flipped\3_53.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_1_flipped,3
1756,"155.95274501459144,62.905383633268485","153.50024319066148,59.5393778878891","155.76738813229574,58.73888162694553","149.619406614786,59.53563883146887","149.95359618190662,58.610165369649806","139.61319005350194,72.7319734922179","143.63755471789884,72.26268391293775","134.44067667801556,96.728515625","140.8026811770428,96.84870500972762","144.82470513132296,112.66964828550584","147.55604024805447,117.91052103599222","131.60247446498056,121.8379438229572","133.21871960116732,121.65122659289884","139.5183152966926,160.66442728599222","137.94955313715954,161.31760700389106","133.7660201848249,199.23961879863813","134.72729207198444,199.22457137645915",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_1_flipped\4_59.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_1_flipped,4
1758,"99.40139378647861,49.86925462062257","96.72882721303502,45.024794047908564","101.5266825753891,46.724768968871594","105.83978295233463,46.56109785384241","111.53870531371595,47.50783149927043","111.85229207198444,67.34719266780155","116.0962047057393,64.90807392996109","126.48528696498055,90.73214068579766","123.19506170963035,90.35514956225681","115.64076179474708,57.8929201118677","122.03042163180935,55.42638542679961","118.01146035992218,112.00459782344358","123.29326513861868,113.39227413667315","121.03998966439688,156.28950328307394","119.55894333657588,155.92157101167317","124.49633694066148,205.1398346303502","123.95053349951363,199.13121656128405",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_1_original\0_35.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_1_original,0
1762,"98.55068245379377,51.8482908256323","96.46741245136187,47.05389333049611","102.07710663910505,47.12587016658561","105.05113843628405,48.74995820160506","109.56090406128405,48.367689080739304","110.43609405398833,69.93912633754864","123.03280034046693,66.020906797179","122.57301039640078,92.16637281128405","125.67752918287938,91.71098309824903","114.36244528210116,63.38569278939689","122.58016932149806,57.519143664883266","115.37537998540856,117.28675218871595","124.90047422178988,117.82399075875486","119.53032283560312,158.6635153210117","119.9134317242218,158.5461606274319","122.79287755350195,204.9371808122568","120.83916737597276,204.6994315418288",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_1_original\1_41.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_1_original,1
1759,"98.01080678501945,54.375353386429964","96.97312743190662,48.2705344114786","101.47470817120623,49.90605620744164","104.5592017266537,49.89135457198444","109.6164503283074,50.05524987840467","108.44619406614787,68.13047938959144","115.75236350924125,64.23189749513618","119.36772707928016,92.13320008511673","124.67396491974708,92.1263983463035","112.4089706955253,57.80728660019455","116.83235803745136,59.16954948929961","116.06626945525292,119.01716774075875","124.99917163180935,118.7610879742218","119.2593704401751,160.61601714494162","118.32209083171206,160.658469114786","123.26994163424125,204.88091257295721","120.90365089980546,205.6510517996109",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_1_original\2_47.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_1_original,2
1760,"96.66322653210116,58.29478508025292","98.14444765321012,53.45285521035992","100.1929109922179,54.09932438594358","105.30161721789884,53.20962275048638","105.39307210603113,54.94767220938716","108.81679383511673,72.34723826605058","115.94705283317121,71.13769911235408","117.15299732490273,92.50047878161479","121.6790263253891,92.68646643968872","106.7672361381323,107.464000182393","117.60381961332685,68.77900048638132","119.31024288667315,115.09500395184826","123.62180052285993,116.95849039396887","117.98936040856032,162.25696133268482","116.39047300583658,161.3156918774319","120.68205100924125,204.69041828793775","119.5013223492218,204.44927954766538",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_1_original\3_53.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_1_original,3
1761,"97.6360575753891,64.46560372081713","97.95266141780156,61.20332639226654","99.02187196011673,60.40161797786965","103.9800735651751,60.3490811952821","106.16391810554475,60.88750151994164","108.87807788180935,76.72728447227627","113.92927711575875,75.00978082441634","114.37223370622569,101.81927893968872","121.28920689445525,97.47900200632296","107.1477535262646,106.31456712062257","116.40708596789884,87.58211484678988","121.77525383025292,123.46936557636187","124.74019637645914,122.09526234192607","117.84555113083658,163.2083991974708","116.44587487840467,163.04886612354085","120.06274319066148,201.9551009241245","120.35809824902724,198.88758511673151",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_1_original\4_59.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_1_original,4
1763,"150.4672148589494,44.400462822227624","148.43221060311285,41.21167087183852","149.72691208657588,40.98895002431907","146.05263557879377,43.748730848735406","144.59019333657588,40.72174808487354","135.50037998540856,54.319776720573934","145.07171084630352,57.76220133146887","132.9720482733463,75.28634940418289","131.33298881322958,74.81383754863813","140.43262098735408,48.81198321984436","147.05599464980546,46.53318792558366","132.16021704766538,108.12515199416343","137.18143543287937,108.04489907587549","136.24855605544747,150.84323321984436","137.0465862110895,151.9183943336576","131.09226045719845,192.74825206712063","133.96470695525292,184.21443336575877",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_2_flipped\0_12.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_2_flipped,0
1765,"151.5635335603113,41.67906812378405","148.31517509727627,38.56636445160506","151.44809399319067,39.452589220573934","143.34168287937743,43.047254985408564","146.92962670233464,40.996359739785994","136.6678623540856,54.44294139105058","144.65114299610894,54.55357414275292","131.8257994892996,77.20580769698444","139.84768664883268,75.91838673394942","141.3193853356031,59.12088475802529","145.00835967898834,58.46346440296693","131.9645245622568,105.32981973492218","137.16397130350194,105.63428684338521","135.82315479085602,152.58216804474708","137.56291038424123,157.15567242217898","129.83993494649806,194.5325723492218","133.61350924124514,195.0018695282101",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_2_flipped\1_18.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_2_flipped,1
1764,"149.09677468385215,45.059828702577825","146.0727900048638,41.987293287937746","148.54765017023345,42.516726957684824","145.03456347276264,44.3626732733463","146.5778362110895,41.923904122081716","135.45675766050584,57.99743129863813","144.79477748054475,57.62350665734436","133.20268421692606,79.08935736867704","133.2758694066148,77.77491184338521","139.9155368433852,51.597652450145915","146.6644880836576,50.89570160505836","130.86910262645915,108.33870379377431","134.95452334630352,108.63084417558366","135.25307028210116,152.87837427042803","136.59713946984436,152.51202273832686","132.80187560797665,191.48703489785993","132.9357064688716,185.74420902237355",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_2_flipped\2_24.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_2_flipped,2
1766,"149.8876459143969,45.64493023467899","147.223765807393,42.65823732368677","147.14064019941634,40.552688776750976","145.42052225194553,44.29325373905642","145.1151507782101,41.547767965710115","137.62139773832686,57.33545871838521","144.44350376945525,56.74295507052529","131.9943762159533,79.77840770914398","142.24653453307394,78.44180903453308","138.4710451118677,59.29957289640078","149.02617339494162,111.02791372811284","131.71613570038912,108.3887782709144","135.9759545233463,109.07446194066148","136.46849160992218,153.41809034533074","136.5732155885214,153.4580648103113","130.30467230058366,196.82698504377433","135.4723674610895,196.15834751945525",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_2_flipped\3_30.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_2_flipped,3
1767,"152.87939263132296,48.23999878404669","151.13469722762648,46.282545750243195","149.25723492217898,42.606285718628406","144.61812986381324,47.40857551070039","144.2445890077821,43.69891476167315","137.94295659046693,61.03851152115759","141.71871960116732,61.006098765807394","131.17597884241246,86.9314810311284","129.2755806177043,82.97451057879377","137.80973370622567,54.41978508025292","138.50048638132296,57.13259210846304","132.31459751945525,109.57515351410505","135.39247932879377,109.07722063472762","137.83663667315176,152.76042679961088","136.07613387645915,152.5059885700389","132.12057696984436,192.83101288910507","133.1269759241245,186.21932757782102",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_2_flipped\4_36.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_2_flipped,4
1768,"100.44164944066148,45.3350407344358","102.46157587548639,40.93778878891051","103.83187925583658,40.727770853599225","108.56710542315176,42.584957137645915","112.61854024805447,42.287185372081716","111.10873662451363,56.76666995987354","121.64146096789884,57.40712016658561","117.84287603356032,77.45307940175097","123.61947501215954,76.98636612354086","114.29768056906615,49.02634818822957","117.79156280398833,49.92759378039883","115.60545355058366,110.80596425097276","125.11153331712062,109.73388101896887","119.47899440661479,152.44566208657588","123.15248814445525,152.50927164396887","123.5619452213035,188.0021127188716","125.32794260700389,193.96593810797665",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_2_original\0_12.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_2_original,0
1773,"98.92234618190662,46.52708915977627","100.21196346060312,41.76169975072957","101.86050735651752,41.910160049854085","106.9909715466926,44.95163165734436","112.10058213764592,44.22531614785992","109.69686284046693,60.682655186040854","120.46336180690662,60.94383055690662","117.78669139105058,86.35073413180935","122.56906614785993,81.17418531128405","113.75012159533074,51.900462822227624","117.01412785749028,53.63463642996109","115.09919139105058,112.69152784533074","123.1784487475681,113.42246777723736","120.11252887889106,153.74481699902725","122.93110104571984,154.8841804474708","121.65133298881324,195.13568518968873","125.88172574173151,195.43053866731518",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_2_original\1_18.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_2_original,1
1769,"98.69432453793775,45.54594403574903","100.12355605544747,40.90215375729572","102.68801678015565,38.40866670719844","106.73572774805447,43.93612065296693","111.85551434824903,43.572364421206224","110.58133207684826,62.31151583779183","118.62414883268482,61.82438214372568","119.08594509970817,89.99532617947472","120.0796829401751,84.80862414883269","115.32336758268482,55.335097732247085","119.56765260214009,52.47691208657588","116.78728416828794,113.24179991488327","122.78888770671206,114.36563715953308","120.03518664883269,154.65462366245137","123.01114877188716,156.39851349708172","121.58149927042801,198.0446862840467","125.46538332928016,198.24305386673151",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_2_original\2_24.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_2_original,2
1774,"99.33268482490273,46.86235028574903","98.52206955252919,42.5247294503891","99.83684186527238,42.81865576361868","105.7798516536965,44.89874148832685","110.71916038424125,44.61363083657588","108.23904122081713,61.16522905520428","117.59619710603113,61.46181906614786","119.08058730544747,87.79775656614787","126.17156341196498,86.59606031128405","114.03740576361868,53.86874164032101","119.58219844357977,52.347667649562254","115.12976501702335,113.95386977140078","121.74230149562257,113.93525808608949","119.17109223005836,156.3623844844358","121.81740941147861,156.29974768968873","122.84727626459144,199.04631262159532","123.40151538180935,199.04670780642024",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_2_original\3_30.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_2_original,3
1771,"96.1919610286965,50.14980544747082","97.06704462548639,45.17846774683852","101.09869741001945,46.31899015077821","106.28377310311284,46.60509636429961","111.61255927772373,47.381968932392994","112.0861502918288,66.2234466196498","115.22440418287938,63.89246412937743","124.7876109557393,90.89853629620623","124.76712214250973,89.27436466439688","116.19048668531128,59.86208049610895","122.93423212548639,56.46325161113813","118.51252431906615,112.6732201483463","124.28638740272373,113.51144516050584","121.49115393968872,156.59735226167317","118.66698838764592,156.09551313229574","124.4055660262646,205.4220877918288","125.6263223492218,205.14279851653697",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_2_original\4_36.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_2_original,4
1772,"161.77094479571986,96.32263801070039","160.26158195525292,93.9831590466926","156.55252918287937,92.06810858463035","153.57254681420233,92.17611563715954","154.5939627918288,91.6411797786965","141.16691999027236,106.01434064931907","150.18658803501947,106.32440114299611","132.0260821984436,129.87007538910507","146.9591135700389,132.93218020428014","146.22872081712063,109.49516658560312","148.68313776750972,110.1715330131323","127.48359982976653,143.8828125","137.19529730058366,146.02936527237355","142.7560493677043,170.08332320038912","143.43654243677042,170.90734435797665","135.10312803988327,200.68956712062257","133.30763618677042,203.3322440418288",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_3_flipped\0_85.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_3_flipped,0
1782,"161.40547482976655,106.19490211575875","159.84458596789884,101.75887645914398","161.3330344114786,102.48555295476653","152.66647920719845,101.6172406979572","156.4576848249027,100.65946467655642","144.47320342898834,111.56265199416343","149.7179292315175,112.53516384970817","133.5254134241245,134.44885396400778","144.81154243677042,132.09075571498056","143.89460724708172,135.6068974951362","151.0258390077821,122.14295811040856","131.06871656128405,149.7436618433852","132.51349708171207,146.87828307392996","144.15555082684824,169.5277693336576","144.7038393725681,170.1397282344358","132.5259150048638,203.8891962548638","133.2979085603113,203.8913393725681",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_3_flipped\1_91.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_3_flipped,1
1775,"160.12676313229574,113.46474495379377","159.12957502431908,111.89319370136187","160.3056906614786,108.33768543287938","151.59662268968873,109.49370744163424","153.9846941877432,108.50615576361868","142.78930569066148,121.27118798638132","147.76582259241246,121.51118677042801","135.79559824902725,143.5612384484436","146.42296935797665,141.6637737110895","147.92175340466926,139.94967473249028","146.6849616974708,139.08415916828793","132.24761369163426,157.72683608949416","135.25223431420233,156.73589494163426","147.69186223249028,176.53660019455253","140.7067424610895,181.98905642023345","135.665172057393,206.29464068579767","133.65346850680933,205.28252675097278",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_3_flipped\2_97.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_3_flipped,2
1776,"157.90400048638134,120.84146248784047","156.57624027237355,116.56853416828794","158.02848370622567,117.245250182393","149.67994589007782,116.32129286235408","157.26557940175098,115.88854267996109","141.54266476167317,128.75255350194553","147.51030520428014,129.9654517266537","129.92480848735408,152.99346425097278","147.56807818579767,153.84257964494162","142.04766536964982,155.38179413910507","141.0823504377432,155.5901325389105","129.21710846303503,167.05474829766538","137.54827334630352,165.2288880107004","140.60230727140078,177.03125","142.53611381322958,188.17102383268482","133.8179869892996,210.3213460603113","134.74001398346303,209.60262645914398",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_3_flipped\3_103.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_3_flipped,3
1778,"157.68067546206225,124.59934338521401","156.11537876945525,118.85354602383269","158.08409837062257,120.79856213521401","149.90851471303503,120.59608311040856","155.23866123540856,119.33903058122569","139.97223066634243,133.6907982733463","147.10098492217898,134.10154730058366","131.56283438715954,158.6191634241245","147.54725498540856,156.14296571011673","145.2715071741245,155.03781614785993","145.3111320525292,155.4174215710117","129.55198200389106,171.52571741245137","136.8909137889105,170.26468263618676","143.2168804717899,187.979359192607","143.3324568336576,187.66401690175098","133.1372203307393,208.78058122568095","132.48621412937743,207.64629438229574",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_3_flipped\4_109.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_3_flipped,4
1777,"94.60734587791829,99.37210451118678","92.43903514105058,95.58058730544747","95.49834326361868,93.98375942363813","97.5052285992218,93.62959782344358","104.6379879012646,94.36092534046692","101.07624027237354,111.20770762402724","115.07212123054475,108.20086788667315","111.36103173638132,137.36344844357976","125.85517236138132,127.9094418774319","109.94765321011673,106.50927164396887","111.42344813959144,102.6652252553502","120.36959660749028,149.04609982976655","129.01798090953307,148.1358219844358","110.46471455496109,169.2161660992218","110.87905824416343,168.52412147373542","120.18532648346304,204.37018178501947","120.00639895428016,201.21364299610894",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_3_original\0_85.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_3_original,0
1783,"92.65454006566148,104.45686405642023","93.13699233949417,101.53094601167315","97.1973720209144,101.92294655885215","98.2200419503891,102.00389865029183","103.89966865272373,101.17385092412451","103.63259210846303,115.30698261186771","112.73507417315176,111.90206256079767","111.0046966196498,137.87807028210116","125.15178137159533,136.72644090466926","109.18588126215954,124.9791995987354","111.62401203793775,119.68054626702335","119.03123480058366,152.72900960603113","130.9091530885214,150.65615880350194","111.39150656614787,173.7014682636187","112.36870744163424,173.0630015807393","122.42193579766537,206.96317181420233","120.7649106274319,203.74931602626458",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_3_original\1_91.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_3_original,1
1779,"96.23225468142023,115.07270640807393","95.4123221668288,110.13538120136187","96.13380046206225,111.11906462791829","101.71264743433852,109.9328033803502","102.20128587062257,110.65991305933852","105.65929748297665,122.4936922422179","113.05344114785993,122.37212731031128","110.7987217290856,145.29014165856032","123.89726714494164,144.057438594358","108.84658469114787,144.81517509727627","111.56768300097276,150.3641020184825","119.79029365272373,157.36474039396887","129.63214372568095,154.8457867217899","109.10328763375486,173.62110894941634","109.71786843385215,172.54717898832686","121.35957259241245,207.06265199416342","121.13791190418289,201.98715649319067",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_3_original\2_97.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_3_original,2
1780,"93.4431997811284,120.03026203793775","97.03888770671206,116.94180903453308","97.14360408560312,116.04976288910505","99.26133876459144,117.44575328307393","104.52373388861868,116.8681374635214","102.76162755350195,131.21077030642024","116.3785110651751,127.67952030642023","109.76744892996109,158.60372081712063","122.76143756079767,155.66331772859922","114.09393999270428,159.4856365515564","115.49237749270428,162.9607247081712","120.19446133268482,168.19493251459144","131.70406736381324,168.32418835116732","104.7706940053502,170.54740697957197","104.45276021400778,169.7326574659533","118.16352292071984,205.61271887159532","119.58709265564202,206.92182940175098",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_3_original\3_103.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_3_original,3
1781,"94.87330526507782,125.3033651507782","94.81586667071984,121.67832715223736","96.65349890564202,122.29917011186771","100.36494558608949,119.2454325753891","104.33232763861868,121.11459599951363","102.57313959143968,133.20019151264592","118.13528240515565,129.73328064202335","109.82616427529183,160.2046297422179","125.07766901750973,156.9174215710117","107.1012205131323,144.369984192607","115.73024835846304,161.2022282344358","119.75383025291829,167.5611320525292","131.04926130836577,168.00033438715954","106.41378131079766,171.84662268968873","106.67201179474708,170.78058122568095","120.6371671327821,204.84765625","117.4670096668288,208.45189384727627",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_3_original\4_109.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_3_original,4
1785,"157.53693458171207,122.05417831955253","155.93272738326849,117.41520245622569","157.6860256566148,118.25783529912451","149.3838460603113,117.64700115515565","157.74890564202335,116.79176799610894","140.55258998054475,130.33116488326849","147.40053501945525,131.98759727626458","129.9807879377432,154.63399805447472","147.69196862840468,154.6005593385214","143.6916190418288,155.18537208171207","142.3670051070039,155.1660384241245","129.04640381809338,169.61654912451363","137.40951787451363,166.99407222762648","137.74013557879377,190.72812803988327","143.35742947470817,187.89097458657588","133.18938472762648,211.23188229571986","133.70586089494162,210.28656979571986",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_4_flipped\0_104.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_4_flipped,0
1789,"157.61285566634243,124.63459083171206","155.78407709143968,118.72512615515565","157.9934034533074,120.94604207198444","149.74478660019454,120.04619862597276","155.34473796206225,118.81085846303502","140.06234800583658,132.6539244892996","147.8440387889105,133.33729024805447","131.35493677042803,157.83770063229574","148.1885031614786,155.48957320038912","145.3512433122568,155.0265533803502","145.56620865758754,155.2598948200389","128.119406614786,170.43847276264592","136.2758390077821,169.43292497568095","141.55145002431908,189.76968324416342","142.17882113326849,189.829812135214","133.0812104815175,209.9229085603113","132.14530642023345,208.81699902723736",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_4_flipped\1_110.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_4_flipped,1
1784,"157.21861320525292,124.68525808608949","154.64577760214007,118.79181359435798","157.54178319552528,121.12553957928016","148.92834995136187,119.68651203793775","155.6988235651751,118.99179991488327","139.25471181906616,132.5063381566148","146.88129255836577,132.79176799610894","130.13790430447472,157.3325328307393","146.97229146400778,155.44215102140078","143.9118737840467,156.39407526750972","145.2726471303502,156.31982611867704","128.58806541828793,170.6504134241245","136.7670537451362,168.24326665856032","134.59660749027236,202.8518512889105","142.66894151264592,192.80298516536965","134.45964554961088,209.46435736867704","134.99354024805447,208.380547786965",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_4_flipped\2_116.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_4_flipped,2
1786,"156.8156918774319,125.09893300097276","155.19088946984436,119.34466196498055","157.3468658803502,121.74807727383269","149.0913484922179,120.53620500972762","156.15351410505838,120.19649045476653","138.68777358949416,134.18417132782102","147.26115637159532,134.91281614785993","129.8599829766537,157.2551222033074","147.64577760214007,155.1944157344358","145.07386916342412,157.08017692120623","145.93655763618676,156.94037268968873","127.72736806906615,170.20590649319067","136.306329036965,167.94701483463035","143.01048759727627,185.71779243677042","143.91716318093384,185.3559703307393","133.4941634241245,210.29061284046693","134.10873662451363,208.8835724708171",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_4_flipped\3_122.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_4_flipped,3
1788,"158.48010396400778,124.15232855058366","156.55211879863813,118.64428805933852","158.84387159533074,120.77532982733463","150.19599647373542,119.88511521157588","156.18377614299612,118.8651811770428","140.01693214980546,132.81243920233464","149.06689263132296,133.58861259727627","131.18883754863813,155.8266962548638","148.77859010214007,154.2648042315175","144.75869406614785,154.69105666342412","146.28573382782102,155.25801009241246","128.9253860651751,169.56739421206225","138.11913302529183,167.61490758754863","141.37509119649806,188.578125","142.22551374027236,188.755015807393","134.693093385214,209.35169929474708","134.99008998054475,208.1950997081712",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_4_flipped\4_128.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_4_flipped,4
1787,"94.40063381566148,120.27510943579767","97.25687013618678,118.54783256322958","96.12221090710116,117.80968810797665","99.88905946011673,116.39819430933852","105.01721333900778,116.65594601167315","102.01743373054475,131.3796662208171","116.84406918774319,127.99319066147861","109.37598796206225,158.58602869649806","125.06340436527238,154.61001337548637","105.34363600437743,151.36068214980546","115.96455496108949,163.05374513618676","119.88296449416343,168.43023467898834","132.10315843871595,167.99312986381324","104.26061679231518,169.92471729085602","104.16919990272373,169.11591074902725","118.30265837791829,205.21168227140078","117.76911326605058,209.32177164396887",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_4_original\0_104.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_4_original,0
1790,"95.07870257782102,125.01003921449417","94.90476045719845,121.51728933608949","96.8450419503891,122.08361198929961","99.50820768482491,121.13144455252919","104.11628313472762,120.82615667558366","102.73993038667315,132.3248723249027","117.46925918044747,129.1065023103113","109.86083414396887,160.0713460603113","124.89751793531128,157.70177225194553","107.26754772616732,145.08814141536965","118.1182438594358,162.07982733463035","119.5582517631323,167.40056541828795","130.77179596303503,168.18905034046693","106.26355787937743,171.22714007782102","106.52642418531128,170.21119589007782","121.51348188229572,205.17064384727627","118.27310311284047,208.8418804717899",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_4_original\1_110.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_4_original,1
1791,"95.79856213521401,123.74390503404669","96.20910597033074,120.700594297179","97.29336393482491,121.26431785019456","100.67185220087549,118.049671692607","104.95271461575875,119.60531675583658","102.97285384241245,131.9444157344358","117.42771917558366,129.16710238326849","110.60802225194553,160.02904608463035","123.55275717412451,157.97790004863813","108.67375212791829,148.4610438959144","117.60441999027238,162.52737414883268","119.85030094844358,168.04564384727627","129.38525960603113,168.69377735894943","107.9229313594358,173.64181055447472","108.45614968385215,172.56560068093384","120.35230727140078,204.69523650291828","121.49484739785993,205.71385578793775",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_4_original\2_116.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_4_original,2
1792,"95.50701453064202,124.70800401264592","95.7398391901751,121.47989877188716","96.81130684581713,121.97766445768482","100.72085511916343,118.80933852140078","105.03624300826849,119.92312135214009","103.4577684216926,133.45504012645915","118.35950419503891,129.91009545233464","110.29206438472762,159.8549215710117","124.46292102383269,156.77273832684824","104.46950237110894,150.15412208171207","117.87412603356032,158.61025656614785","120.59884940418289,166.61738509241246","130.17614603599222,167.93178501945525","107.16676039640078,170.99227869649806","107.63224252188716,169.88422604571986","120.54701179474708,204.5327547422179","117.67505167801556,208.39633998054475",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_4_original\3_122.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_4_original,3
1796,"95.6713202213035,124.15307332198444","95.39649197470817,119.85756626945525","96.67312135214009,121.30105483949417","99.36236168531128,118.33225164153697","105.17998388861868,118.86029456468872","103.05781857976653,132.08464554961088","116.77081560068093,128.7571589250973","109.97198747568093,158.5913180933852","124.78545263861868,155.3405581225681","107.72507295719845,149.39805751459144","114.26936405642023,153.98153270914398","119.79714858949417,166.37791828793775","130.9294747081712,167.98499817607004","106.71251063959144,171.8016780155642","107.07042649562257,170.630593385214","120.30214919747083,205.06401994163426","117.9013405885214,209.95116427529183",Squat,..\Python\dataset\Squat\How To Perform A PERFECT Squat.mp4_4_original\4_128.jpg,datasetSquatHow To Perform A PERFECT Squat.mp4_4_original,4
